pos,neg,neu,total,date
4,2,113,6,2014-07
24,6,632,30,2014-08
12,0,449,12,2014-09
10,3,816,13,2014-10
14,2,648,16,2014-11
10,2,914,12,2014-12
10,2,933,12,2015-01
19,2,1079,21,2015-02
4,2,447,6,2015-03
3,0,0,3,2015-07
1,1,9620,2,2015-08
4,0,11777,4,2015-09
1,0,3387,1,2015-10
2,0,626,2,2015-11
2,1,938,3,2015-12
1,0,740,1,2016-01
2,0,15,2,2016-02
2,1,0,3,2016-03
2,0,9,2,2016-04
8,0,2,8,2016-06
0,1,0,1,2016-07
1,2,0,3,2016-08
0,1,0,1,2016-09
1,1,0,2,2016-10
4,0,0,4,2016-11
3,2,1,5,2016-12
1,1,0,2,2017-01
0,1,2,1,2017-03
1,0,0,1,2017-05
17,2,1563,19,2017-06
0,3,0,3,2017-07
2,2,1,4,2017-08
4,0,0,4,2017-09
3,0,0,3,2017-12
0,1,0,1,2018-01
3,1,0,4,2018-02
1,1,1,2,2018-03
1,1,1,2,2018-04
1,0,0,1,2018-05
1,1,0,2,2018-06
4,0,1,4,2018-07
5,1,1,6,2018-08
3,0,0,3,2018-09
0,0,1,0,2018-10
2,0,0,2,2018-11
3,1,0,4,2018-12
1,1,1,2,2019-01
2,0,0,2,2019-02
4,0,0,4,2019-03
3,2,2,5,2019-05
7,3,1,10,2019-06
5,0,1,5,2019-07
10,3,1,13,2019-08
3,0,1,3,2019-09
5,1,1,6,2019-10
5,4,0,9,2019-11
7,0,0,7,2019-12
0,3,1,3,2020-01
2,1,2,3,2020-02
4,2,2,6,2020-03
4,1,4,5,2020-04
4,1,6,5,2020-05
6,1,3,7,2020-06
8,3,2,11,2020-07
4,1,4,5,2020-08
6,2,3,8,2020-09
5,5,3,10,2020-10
3,3,5,6,2020-11
2,2,5,4,2020-12
18,6,4,24,2021-01
16,4,6,20,2021-02
9,5,4,14,2021-03
8,7,3,15,2021-04
22,3,8,25,2021-05
22,8,4,30,2021-06
16,5,3,21,2021-07
23,11,2,34,2021-08
30,18,16,48,2021-09
41,13,22,54,2021-10
42,23,13,65,2021-11
34,20,20,54,2021-12
96,39,30,135,2022-01
83,32,29,115,2022-02
135,66,40,201,2022-03
220,74,51,294,2022-04
26,18,8,44,2022-05
